Tiempo (s),Tiempo (horas),Temperatura_Salon_5 (C),Potencia_Salon_5 (W)
2372.0,0.6588888888888889,21.723208600508364,1680.5862072562843
2373.0,0.6591666666666667,21.7230026432653,1680.7912195313627
2374.0,0.6594444444444445,21.72280159126599,1681.1324792392782
2375.0,0.6597222222222222,21.722607246438578,1681.6090573829779
2376.0,0.66,21.722421390322648,1682.2196524328808
2377.0,0.6602777777777777,21.722245779173033,1682.962594298627
2378.0,0.6605555555555556,21.722082139136738,1683.8358491922677
2379.0,0.6608333333333334,21.721932161515177,1684.837025409385
2380.0,0.6611111111111111,21.72179749812398,1685.9633800373285
2381.0,0.6613888888888889,21.721679756762562,1687.211826588402
2382.0,0.6616666666666666,21.721580496805526,1688.5789435478596
2383.0,0.6619444444444444,21.721501224927724,1690.0609838206233
2384.0,0.6622222222222223,21.72144339097447,1691.6538850559348
2385.0,0.6625,21.721408383988127,1693.3532808252517
2386.0,0.6627777777777778,21.721397528401777,1695.1545126253566
2387.0,0.6630555555555555,21.721412080410406,1697.0526426756915
2388.0,0.6633333333333333,21.72145322452942,1699.0424674762453
2389.0,0.6636111111111112,21.721522070349884,1701.1185320899167
2390.0,0.6638888888888889,21.721619649499374,1703.275145111
2391.0,0.6641666666666667,21.721746912816673,1705.5063942794172
2392.0,0.6644444444444444,21.72190472774811,1707.8061626983701
2393.0,0.6647222222222222,21.722093875972586,1710.1681456113747
2394.0,0.665,21.722315051261816,1712.585867692985
2395.0,0.6652777777777777,21.722568857581642,1715.0527008060967
2396.0,0.6655555555555556,21.72285580743959,1717.5618821773494
2397.0,0.6658333333333334,21.723176320483216,1720.1065329410153
2398.0,0.6661111111111111,21.72353072235305,1722.679677000687
2399.0,0.6663888888888889,21.72391924379332,1725.2742601572286
2400.0,0.6666666666666666,21.724342020022824,1727.883169450675
2401.0,0.6669444444444445,21.724799090367775,1730.4992526632143
2402.0,0.6672222222222223,21.725290398157508,1733.115337929902
2403.0,0.6675,21.72581579088345,1735.7242534035115
2404.0,0.6677777777777778,21.72637502062083,1738.3188469197426
2405.0,0.6680555555555555,21.72696774471206,1740.8920056090608
2406.0,0.6683333333333333,21.727593526709853,1743.4366754015812
2407.0,0.6686111111111112,21.72825183757757,1745.945880371757
2408.0,0.6688888888888889,21.728942057143453,1748.4127418700914
2409.0,0.6691666666666667,21.72966347580486,1750.8304973897411
2410.0,0.6694444444444444,21.730415296477776,1753.1925191166883
2411.0,0.6697222222222222,21.731196636786343,1755.4923321130811
2412.0,0.67,21.73200653148642,1757.723632084527
2413.0,0.6702777777777778,21.73284393511659,1759.8803026833782
2414.0,0.6705555555555556,21.733707724869415,1761.9564323015932
2415.0,0.6708333333333333,21.73459670367512,1763.9463303084276
